tid	screen_name
6.86691E+17	AFLCIOCO
7.03252E+17	AFMorrill
7.17432E+17	AFPMichigan
7.1049E+17	AFPSCarolina
6.91727E+17	AFPSD
7.02582E+17	AFPSD
7.1709E+17	AFRnet
6.95624E+17	afroamcivilwar
6.97239E+17	AFSCMEMN5
6.94634E+17	AftertheBell
6.95725E+17	AftertheBell
7.22526E+17	AftertheBell
7.10478E+17	AFTkansas
6.94515E+17	aftmichigan
6.94517E+17	aftmichigan
6.94997E+17	aftmichigan
6.97125E+17	aftmichigan
6.97125E+17	aftmichigan
6.97128E+17	aftmichigan
6.97128E+17	aftmichigan
6.99649E+17	aftmichigan
7.02298E+17	aftmichigan
7.02298E+17	AFTunion
6.93084E+17	AFTWV
7.08309E+17	AFTWV
7.08309E+17	AFTWV
7.27592E+17	AFTWV
6.89218E+17	AGAlanWilson
7.14521E+17	AGAlanWilson
7.14523E+17	AGAlanWilson
7.15248E+17	AGAlanWilson
7.15284E+17	AGAlanWilson
7.15297E+17	AGAlanWilson
7.15306E+17	AGAlanWilson
7.15311E+17	AGAlanWilson
